Package,Version
CCE,18.0.1
MPICH,8.1.31
MPIxlate,1.0.6
DSMML,0.3.0
PMI,6.1.15
OpenSHMEMX,11.7.3
mrnet,5.1.4
ATOMS,1.1.6
PALS,1.2.12
ATP,3.15.5
CCDB,5.0.5
cray-dyninst,12.3.4
CTI,2.19.0
gdb4hpc,4.16.3
sanitizers4hpc,1.1.4
STAT,4.12.4
valgrind4hpc,2.13.4
perftools,24.11.0
PAPI,7.1.0.4
LibSci,24.11.0
LibSci_acc,24.11.0
FFTW,3.3.10.9
craype-dl-plugin-ftr,22.06.1.2
craype-dl-plugin-py3,24.03.1
craypkg-gen,1.3.34
craype,2.7.33
cpe-prgenv,8.6.0
cray-lmod,8.7.37
modules,3.2.11.7
HDF5,1.14.3.3
NetCDF,4.9.0.15
parallel-netcdf,1.12.3.11
iobuf,2.0.10
GCC,13.2
cray-python,3.11.7
cray-R,4.4.0
jemalloc,5.1.0.4
AOCC,4.1.0
ROCM,6.2.4
intel,2024.0
NVIDIA,23.11
craype-targets,1.15.0
EasyBuild,4.9.4
