Package,Version
CCE,16.0.1
MPICH,8.1.27
MPIxlate,1.0.2
DSMML,0.2.2
PMI,6.1.12
OpenSHMEMX,11.6.1
ATOMS,1.1.6
PALS,1.2.12
ATP,3.15.1
CCDB,5.0.1
cray-dyninst,12.3.0
CTI,2.18.1
gdb4hpc,4.15.1
sanitizers4hpc,1.1.1
STAT,4.12.1
valgrind4hpc,2.13.1
perftools,23.09.0
PAPI,7.0.1.1
LibSci,23.09.1.1
LibSci_acc,23.09.1.1
FFTW,3.3.10.5
craype-dl-plugin-ftr,22.06.1.2
craype-dl-plugin-py3,22.12.1
craypkg-gen,1.3.30
craype,2.7.23
cpe-prgenv,8.4.0
cray-lmod,8.7.19
modules,3.2.11.7
HDF5,1.12.2.7
NetCDF,4.9.0.7
parallel-netcdf,1.12.3.7
iobuf,2.0.10
GCC,12.2.0
GCC10,10.3.0
GCC11,11.2.0
GCC12,12.2.0
cray-python,3.10.10
cray-R,4.2.1.2
jemalloc,5.1.0.4
AOCC,3.2.0
ROCM,5.2.3
intel,2023.1.0
NVIDIA,22.7
craype-targets,1.11.0
EasyBuild,4.8.2
