Package,Version
CCE,21.0.0
MPICH,9.1.0
MPIxlate,1.0.9
DSMML,0.3.1
PMI,6.1.17
OpenSHMEMX,11.8.0
mrnet,5.1.6
ATOMS,1.1.6
PALS,1.2.12
ATP,3.15.7
CCDB,5.0.6
cray-dyninst,12.3.5
CTI,2.21.0
gdb4hpc,4.16.6
sanitizers4hpc,1.1.6
STAT,4.12.8
valgrind4hpc,2.13.6
perftools,26.03.0
PAPI,7.3.0.1
LibSci,26.03.0
LibSci_acc,26.03.0
FFTW,3.3.10.11
craype-dl-plugin-ftr,22.06.1.2
craype-dl-plugin-py3,24.03.1
craypkg-gen,1.3.37
craype,2.7.36
cpe-prgenv,8.7.0
cray-lmod,8.7.60
modules,3.2.11.8
HDF5,1.14.3.9
NetCDF,4.9.2.3
parallel-netcdf,1.12.3.21
iobuf,2.0.10
GCC,14
cray-python,3.12.12
cray-R,4.4.0
jemalloc,5.1.0.4
AOCC,5.0.0
ROCM,7.0.3
intel,2025.2.1
NVIDIA,25.9
craype-targets,1.18.0
EasyBuild,5.3.1
