Package,Version
CCE,17.0.0
MPICH,8.1.28
MPIxlate,1.0.3
DSMML,0.2.2
PMI,6.1.13
OpenSHMEMX,11.7.0
ATOMS,1.1.6
PALS,1.2.12
ATP,3.15.2
CCDB,5.0.2
cray-dyninst,12.3.1
CTI,2.18.2
gdb4hpc,4.16.0
sanitizers4hpc,1.1.2
STAT,4.12.2
valgrind4hpc,2.13.2
perftools,23.12.0
PAPI,7.0.1.2
LibSci,23.12.5
LibSci_acc,23.12.0
FFTW,3.3.10.6
craype-dl-plugin-ftr,22.06.1.2
craype-dl-plugin-py3,22.12.1
craypkg-gen,1.3.31
craype,2.7.30
cpe-prgenv,8.5.0
cray-lmod,8.7.31
modules,3.2.11.7
HDF5,1.12.2.9
NetCDF,4.9.0.9
parallel-netcdf,1.12.3.9
iobuf,2.0.10
GCC,12.3
cray-python,3.11.5
cray-R,4.3.1
jemalloc,5.1.0.4 TODO
AOCC,4.0.0
ROCM,5.4.1
intel,2023.1.0
NVIDIA,22.7
craype-targets,1.12.0
EasyBuild,4.9.1
