Package,Version
CCE,11.0.4
MPICH,8.1.4
DSMML,0.1.4
PMI,6.0.10
OpenSHMEMX,11.2.0
ATP,3.13.1
CCDB,4.11.1
CTI,2.13.6
gdb4hpc,4.12.5
STAT,4.10.1
valgrind4hpc,2.11.1
perftools,21.02.0
PAPI,6.0.0.6
LibSci,21.04.1.1
FFTW,3.3.8.9
craypkg-gen,1.3.14
craype,2.7.6
craype-targets,1.4.0
cpe-prgenv,8.0.0
cray-lmod,8.3.1.0
HDF5,1.12.0.3
NetCDF,4.7.4.3
parallel-netcdf,1.12.1.3
iobuf,2.0.10
GCC,9.3.0
GCC8,8.1.0
GCC9,9.3.0
GCC10,10.2.0
cray-python,3.8.5.0
cray-R,4.0.3.0
AOCC,2.2.0.1
intel,19.1.3.304
jemalloc,5.1.0.4
craype-dl-plugin-py3,21.04.1
