Package,Version
CCE,11.0.2
MPICH,8.1.2
DSMML,0.1.1
PMI,6.0.9
OpenSHMEMX,11.1.0.beta
ATP,3.11.6
CCDB,4.0.4
CTI,2.11.6
gdb4hpc,4.10.6
STAT,4.7.1
valgrind4hpc,2.10.3
perftools,21.02.0
PAPI,6.0.0.6
LibSCi,20.12.1.2
LibSci_acc,21.02.9.1
FFTW,3.3.8.8
craypkg-gen,1.3.13
craype,2.7.5
craype-targets,1.2.0
cpe-prgenv,8.0.0
cray-lmod,8.3.1.0
HDF5,1.12.0.2
NetCDF,4.7.4.2
parallel-netcdf,1.12.1.1
iobif,2.0.10
GCC,9.3.0
GCC8,8.1.0
GCC9,9.3.0
GCC10,10.2.0
cray-python,3.8.5.0
cray-R,4.0.3.0
