Package,Version
CCE,13.0.0
MPICH,8.1.12
DSMML,0.2.2
PMI,6.0.16
OpenSHMEMX,11.5.0
ATOMS,1.0.5
PALS,1.1.3
ATP,3.14.8
CCDB,4.12.7
cray-dyninst,10.1.0
CTI,2.15.8
gdb4hpc,4.13.8
STAT,4.11.8
valgrind4hpc,2.12.6
perftools,21.12.0
PAPI,6.0.0.12
LibSci,21.08.1.2
LibSci_acc,21.12.1.1
FFTW,3.3.8.12
craype-dl-plugin-py3,21.04.1
craypkg-gen,1.3.21
craype,2.7.13
cpe-prgenv,8.2.0
cray-lmod,8.3.1.0
modules,3.2.11.6
HDF5,1.12.0.7
NetCDF,4.7.4.7
parallel-netcdf,1.12.1.7
iobuf,2.0.10
GCC,11.2.0
GCC10,10.3.0
GCC11,11.2.0
cray-python,3.9.4.2
cray-R,4.1.1.1
jemalloc,5.1.0.4
AOCC,3.1.0
ROCM,4.5.2
intel,2021.4.0
NVIDIA,21.3
craype-targets,1.7.0
EasyBuild,4.5.3
