Package,Version
CCE,14.0.0
MPICH,8.1.16
DSMML,0.2.2
PMI,6.1.2
OpenSHMEMX,11.5.4
ATOMS,1.0.9
PALS,1.1.7
ATP,3.14.11
CCDB,4.12.11
Cray-dininst,12.1.0
CTI,2.15.11
gdb4hpc,4.14.0
STAT,4.11.10
valgrind4hpc,2.12.8
perftools,22.05.0
PAPI,6.0.0.14
LibSci,21.08.1.2
LibSci_acc,21.12.1.1
FFTW,3.3.8.13
craype-dl-plugin-py3,21.04.1
craypkg-gen,1.3.24
craype,2.7.15
cpe-prgenv,8.3.0
cray-lmod,8.3.1.0
modules,3.2.11.6
HDF5,1.12.1.1
NetCDF,4.8.1.3
parallel-netcdf,1.12.2.3
iobuf,2.0.10
GCC,11.2.0
GCC10,10.3.0
GCC11,11.2.0
cray-python,3.9.12.1
cray-R,4.1.3.0
jemalloc,5.1.0.4
AOCC,3.2.0
ROCM,5.0.0
intel,2022.1.2
NVIDIA,21.9
craype-targets,1.7.0
